# word|German example|English
die Ambivalenz|Die Ambivalenz des Ergebnisses zeigt sich in beiden Interpretationen.|The ambivalence of the result shows in both interpretations.
die Diskrepanz|Zwischen Anspruch und Wirklichkeit besteht eine deutliche Diskrepanz.|There is a clear discrepancy between aspiration and reality.
die Divergenz|Die Divergenz der Meinungen erschwert eine Einigung.|The divergence of opinions makes agreement difficult.
die Kohärenz|Dem Text fehlt es an Kohärenz.|The text lacks coherence.
die Nuance|Er achtet auf jede sprachliche Nuance.|He pays attention to every linguistic nuance.
die Prämisse|Die Argumentation beruht auf einer falschen Prämisse.|The argument rests on a false premise.
die Implikation|Welche Implikationen hat diese Entscheidung für uns?|What implications does this decision have for us?
die Relevanz|Die Studie hat große Relevanz für die Praxis.|The study is highly relevant for practice.
die Signifikanz|Die statistische Signifikanz der Daten ist gering.|The statistical significance of the data is low.
die Plausibilität|Wir prüfen die Plausibilität der Zahlen.|We are checking the plausibility of the figures.
die Legitimation|Der Regierung fehlt die Legitimation für diesen Schritt.|The government lacks legitimacy for this step.
die Objektivität|Journalisten sollten um Objektivität bemüht sein.|Journalists should strive for objectivity.
die Subjektivität|Die Subjektivität des Urteils lässt sich nicht vermeiden.|The subjectivity of the judgement cannot be avoided.
die Komplexität|Die Komplexität des Themas wird oft unterschätzt.|The complexity of the topic is often underestimated.
die Dimension|Das Problem hat auch eine soziale Dimension.|The problem also has a social dimension.
das Spannungsfeld|Die Pflege bewegt sich im Spannungsfeld zwischen Kosten und Qualität.|Care operates in the tension between cost and quality.
der Paradigmenwechsel|Die Digitalisierung bedeutet einen Paradigmenwechsel in der Bildung.|Digitalisation means a paradigm shift in education.
die Wechselwirkung|Die Wechselwirkung beider Medikamente ist unbekannt.|The interaction of the two drugs is unknown.
der Sachverhalt|Bitte schildern Sie den Sachverhalt genau.|Please describe the facts of the matter precisely.
die Gegebenheit|Wir müssen uns den örtlichen Gegebenheiten anpassen.|We have to adapt to local circumstances.
die Errungenschaft|Die Pressefreiheit ist eine wichtige Errungenschaft.|Freedom of the press is an important achievement.
das Bestreben|Das Bestreben der Firma ist es, klimaneutral zu werden.|The company's aim is to become climate-neutral.
die Zielsetzung|Die Zielsetzung des Projekts ist klar formuliert.|The objective of the project is clearly stated.
die Vorgehensweise|Wir müssen unsere Vorgehensweise überdenken.|We need to rethink our approach.
die Herangehensweise|Ihre Herangehensweise an das Problem ist ungewöhnlich.|Her approach to the problem is unusual.
der Stellenwert|Bildung hat in der Familie einen hohen Stellenwert.|Education has a high status in the family.
die Tragweite|Die Tragweite dieser Entscheidung war niemandem bewusst.|Nobody was aware of the scope of this decision.
die Verhältnismäßigkeit|Das Gericht prüft die Verhältnismäßigkeit der Maßnahme.|The court examines the proportionality of the measure.
die Zwangsläufigkeit|Mit einer gewissen Zwangsläufigkeit kam es zum Streit.|With a certain inevitability it came to a dispute.
die Beliebigkeit|Die Auswahl der Beispiele wirkt von großer Beliebigkeit.|The choice of examples seems highly arbitrary.
die Grundlagenforschung|Die Grundlagenforschung braucht langfristige Finanzierung.|Basic research needs long-term funding.
die Fragestellung|Die zentrale Fragestellung der Arbeit lautet …|The central research question of the paper is …
die Methodik|Die Methodik der Studie wird kritisiert.|The methodology of the study is criticised.
die Aussagekraft|Die Umfrage hat nur begrenzte Aussagekraft.|The survey has only limited significance.
die Validität|Die Validität des Tests ist gut belegt.|The validity of the test is well documented.
die Verzerrung|Kleine Stichproben führen oft zu Verzerrungen.|Small samples often lead to bias.
die Fußnote|Die Quelle steht in der Fußnote.|The source is in the footnote.
das Literaturverzeichnis|Das Literaturverzeichnis steht am Ende der Arbeit.|The bibliography is at the end of the paper.
die Zusammenschau|In der Zusammenschau ergibt sich ein klares Bild.|Taken together, a clear picture emerges.
die Gliederung|Eine gute Gliederung erleichtert das Lesen.|A good structure makes reading easier.
das Gutachten|Das Gericht hat ein Gutachten in Auftrag gegeben.|The court has commissioned an expert report.
der Sachverständige|Der Sachverständige bestätigte den Schaden.|The expert confirmed the damage.
die Fachterminologie|Ohne Fachterminologie ist der Text leichter zu verstehen.|Without technical terminology the text is easier to understand.
die Erkenntnis|Die Studie liefert neue Erkenntnisse.|The study provides new insights.
die Schlussfolgerung ziehen|Daraus können wir eine klare Schlussfolgerung ziehen.|From this we can draw a clear conclusion.
die Gesetzgebung|Die Gesetzgebung ist Aufgabe des Parlaments.|Legislation is the task of parliament.
die Rechtsprechung|Die Rechtsprechung hat sich in diesem Punkt geändert.|Case law has changed on this point.
der Zuständigkeitsbereich|Das fällt nicht in meinen Zuständigkeitsbereich.|That is not within my area of responsibility.
die Gewaltenteilung|Die Gewaltenteilung schützt vor Machtmissbrauch.|The separation of powers protects against abuse of power.
die Rechtsstaatlichkeit|Rechtsstaatlichkeit ist eine Grundlage der EU.|The rule of law is a foundation of the EU.
die Souveränität|Das Land verteidigt seine Souveränität.|The country defends its sovereignty.
das Abkommen|Beide Staaten haben ein Abkommen unterzeichnet.|Both states have signed an agreement.
die Verhandlungsbereitschaft|Beide Seiten signalisierten Verhandlungsbereitschaft.|Both sides signalled willingness to negotiate.
das Mandat|Die Abgeordnete hat ihr Mandat niedergelegt.|The MP has resigned her seat.
die Amtszeit|Seine Amtszeit endet im nächsten Jahr.|His term of office ends next year.
die Koalition|Die Koalition hat sich auf einen Haushalt geeinigt.|The coalition has agreed on a budget.
die Opposition|Die Opposition kritisiert den Plan scharf.|The opposition sharply criticises the plan.
das Volksbegehren|Über 20.000 Menschen unterstützten das Volksbegehren.|Over 20,000 people supported the petition for a referendum.
die Einflussnahme|Man wirft der Firma politische Einflussnahme vor.|The company is accused of political interference.
der Interessenkonflikt|Als Gutachter hätte er einen Interessenkonflikt.|As an assessor he would have a conflict of interest.
die Regulierung|Die Branche fordert weniger Regulierung.|The industry calls for less regulation.
die Subvention|Ohne Subventionen wäre das Produkt zu teuer.|Without subsidies the product would be too expensive.
die Wertschöpfung|Ein Großteil der Wertschöpfung findet im Ausland statt.|Much of the value creation takes place abroad.
die Betriebswirtschaft|Sie studiert Betriebswirtschaft in Köln.|She studies business administration in Cologne.
die Liquidität|Die Firma hat Probleme mit der Liquidität.|The company has liquidity problems.
die Rentabilität|Die Rentabilität des Projekts ist fraglich.|The profitability of the project is questionable.
die Insolvenz|Das Unternehmen musste Insolvenz anmelden.|The company had to file for insolvency.
die Fusion|Die Fusion der beiden Banken wurde genehmigt.|The merger of the two banks was approved.
der Marktanteil|Der Marktanteil ist auf zwölf Prozent gestiegen.|The market share has risen to twelve per cent.
die Wertschätzung|Mitarbeitende wünschen sich mehr Wertschätzung.|Employees want more appreciation.
die Verdrängung|Die Verdrängung alter Mieter ist ein großes Problem.|The displacement of long-standing tenants is a big problem.
die Resilienz|Sport kann die psychische Resilienz stärken.|Sport can strengthen psychological resilience.
die Empathie|Gute Ärztinnen zeigen Empathie.|Good doctors show empathy.
die Selbstwirksamkeit|Erfolgserlebnisse stärken die Selbstwirksamkeit.|Experiences of success strengthen self-efficacy.
die Voreingenommenheit|Die Jury muss jede Voreingenommenheit vermeiden.|The jury must avoid any bias.
die Reizüberflutung|In der Großstadt leiden viele unter Reizüberflutung.|In the big city many suffer from sensory overload.
die Gelassenheit|Sie reagierte mit großer Gelassenheit.|She reacted with great composure.
die Beharrlichkeit|Mit Beharrlichkeit hat er sein Ziel erreicht.|With persistence he reached his goal.
die Zurückhaltung|Die Kunden zeigen beim Kauf Zurückhaltung.|Customers are showing restraint when buying.
die Bereitschaft|Die Bereitschaft zur Weiterbildung ist hoch.|The willingness to undertake further training is high.
die Prägung|Seine religiöse Prägung merkt man bis heute.|His religious upbringing is still noticeable today.
die Entfremdung|Viele spüren eine Entfremdung von der Politik.|Many feel alienated from politics.
die Solidarität|In der Krise zeigte sich große Solidarität.|Great solidarity was shown in the crisis.
die Zivilgesellschaft|Die Zivilgesellschaft spielt eine wichtige Rolle.|Civil society plays an important role.
der gesellschaftliche Zusammenhalt|Der gesellschaftliche Zusammenhalt wird auf die Probe gestellt.|Social cohesion is being put to the test.
die Chancengleichheit|Chancengleichheit beginnt in der Kita.|Equality of opportunity begins in nursery school.
die Meinungsbildung|Soziale Medien beeinflussen die Meinungsbildung.|Social media influence opinion forming.
die Berichterstattung|Die Berichterstattung über den Fall war einseitig.|The reporting on the case was one-sided.
die Quelle|Bitte geben Sie immer die Quelle an.|Please always cite the source.
die Recherche|Die Recherche dauerte drei Monate.|The research took three months.
die Falschmeldung|Die Falschmeldung verbreitete sich rasend schnell.|The fake news spread extremely fast.
die Schlagzeile|Die Schlagzeile ist stark übertrieben.|The headline is greatly exaggerated.
die Zuspitzung|Die Zuspitzung des Konflikts war absehbar.|The escalation of the conflict was foreseeable.
der Leitartikel|Im Leitartikel kritisiert die Zeitung die Regierung.|In the editorial the paper criticises the government.
