# de|en|plural|topic|example|example (English)
#A2
der Präsident|president|Präsidenten|n-Deklination|Wir haben den Präsidenten im Fernsehen gesehen.|We saw the president on TV.
der Tourist|tourist|Touristen|n-Deklination|Die Stadt ist voll von Touristen.|The city is full of tourists.
der Journalist|journalist|Journalisten|n-Deklination|Ich habe mit einem Journalisten gesprochen.|I spoke to a journalist.
der Architekt|architect|Architekten|n-Deklination|Wir brauchen einen Architekten für den Umbau.|We need an architect for the conversion.
der Löwe|lion|Löwen|n-Deklination|Im Zoo haben wir den Löwen gefüttert.|At the zoo we fed the lion.
der Affe|monkey|Affen|n-Deklination|Das Kind lacht über den Affen.|The child laughs at the monkey.
der Bär|bear|Bären|n-Deklination|Hast du schon einmal einen Bären gesehen?|Have you ever seen a bear?
der Held|hero|Helden|n-Deklination|Alle feiern den Helden des Spiels.|Everyone celebrates the hero of the match.
der Name|name|Namen|n-Deklination|Ich habe seinen Namen vergessen.|I have forgotten his name.
der Buchstabe|letter (of the alphabet)|Buchstaben|n-Deklination|Das Wort hat acht Buchstaben.|The word has eight letters.
der Gedanke|thought|Gedanken|n-Deklination|Der Gedanke an Urlaub macht mich froh.|The thought of holidays makes me happy.
die Rechnung bezahlen|to pay the bill||Einkaufen|Kann ich die Rechnung mit Karte bezahlen?|Can I pay the bill by card?
das Rezept|recipe, prescription|Rezepte|Gesundheit|Die Ärztin gibt mir ein Rezept für Tabletten.|The doctor gives me a prescription for tablets.
die Tablette|tablet, pill|Tabletten|Gesundheit|Nehmen Sie morgens eine Tablette.|Take one tablet in the morning.
das Fieber|fever||Gesundheit|Das Kind hat seit gestern Fieber.|The child has had a fever since yesterday.
die Erkältung|cold (illness)|Erkältungen|Gesundheit|Ich habe eine starke Erkältung.|I have a bad cold.
der Schalter|counter, switch|Schalter|Behörden|Bitte gehen Sie zu Schalter drei.|Please go to counter three.
die Wartenummer|queue number|Wartenummern|Behörden|Ziehen Sie bitte eine Wartenummer.|Please take a queue number.
der Aufenthalt|stay|Aufenthalte|Behörden|Wie lange dauert Ihr Aufenthalt?|How long is your stay?
die Staatsbürgerschaft|citizenship|Staatsbürgerschaften|Behörden|Er hat die deutsche Staatsbürgerschaft beantragt.|He has applied for German citizenship.
das Paket|parcel|Pakete|Post|Das Paket liegt beim Nachbarn.|The parcel is at the neighbour's.
die Briefmarke|stamp|Briefmarken|Post|Eine Briefmarke für Indien, bitte.|A stamp for India, please.
der Absender|sender|Absender|Post|Der Absender steht links oben.|The sender goes at the top left.
der Empfänger|recipient|Empfänger|Post|Der Empfänger war nicht zu Hause.|The recipient was not at home.
die Lieferung|delivery|Lieferungen|Einkaufen|Die Lieferung kommt morgen.|The delivery is coming tomorrow.
der Umtausch|exchange (of goods)||Einkaufen|Ein Umtausch ist nur mit Kassenbon möglich.|An exchange is only possible with a receipt.
die Garantie|guarantee|Garantien|Einkaufen|Das Gerät hat zwei Jahre Garantie.|The device has a two-year guarantee.
das Sonderangebot|special offer|Sonderangebote|Einkaufen|Die Jacke war im Sonderangebot.|The jacket was on special offer.
die Kasse|till, checkout|Kassen|Einkaufen|Bitte zahlen Sie an der Kasse.|Please pay at the checkout.
der Einkaufswagen|shopping trolley|Einkaufswagen|Einkaufen|Der Einkaufswagen kostet einen Euro Pfand.|The trolley needs a one-euro deposit.
das Pfand|deposit (bottles)||Einkaufen|Auf die Flasche gibt es 25 Cent Pfand.|There is a 25-cent deposit on the bottle.
der Feierabend|end of the working day||Arbeit|Nach Feierabend gehe ich ins Fitnessstudio.|After work I go to the gym.
der Urlaubsantrag|leave request|Urlaubsanträge|Arbeit|Ich habe meinen Urlaubsantrag gestellt.|I have submitted my leave request.
die Schicht|shift|Schichten|Arbeit|Sie arbeitet diese Woche in der Nachtschicht.|She is working the night shift this week.
#B1
der Kandidat|candidate|Kandidaten|n-Deklination|Die Partei unterstützt den Kandidaten.|The party supports the candidate.
der Automat|machine (vending/ticket)|Automaten|n-Deklination|Die Fahrkarte kaufst du am Automaten.|You buy the ticket from the machine.
der Planet|planet|Planeten|n-Deklination|Wir müssen den Planeten schützen.|We have to protect the planet.
